Country|Name|lat|lng|Altitude
United States|New York City|40.7142691|-74.0059738|2.0
	ENVIRONMENTAL PROTECTION REGIONAL II LIBRARY	40.7147314	-74.005178
	EDINBORO UNIVERSITY OF PENNSYLVANIA	41.871572	-80.1208028
	ELIZABETHTOWN COLLEGE	40.1503251	-76.589792
	MONTANA STATE UNIVERSITY BILLINGS	45.7968435	-108.5220124
	EMMANUEL COLLEGE	42.3410214	-71.1022899
	EASTERN NAZARENE COLLEGE	42.2715247	-71.0108768
	BAKER COLLEGE	42.9754572	-83.6961214
	MUHLENBERG COLLEGE	40.597544	-75.5101316
	GRAND VALLEY STATE UNIVERSITY	42.9639298	-85.8889489
	WESTERN MICHIGAN UNIVERSITY	42.2837336	-85.6102507
	EASTERN MICHIGAN UNIVERSITY	42.2506803	-83.624089
	OAKLAND UNIVERSITY	42.6679163	-83.208182
	WAYNE STATE UNIVERSITY	42.3591388	-83.0665462
	CENTRAL MICHIGAN UNIVERSITY	43.5819086	-84.7756364
	FERRIS STATE UNIVERSITY	43.6834099	-85.4841782
	NORTHERN MICHIGAN UNIVERSITY	46.5596032	-87.4044868
	SAGINAW VALLEY STATE UNIVERSITY	43.5142733	-83.9623559
	ARGOSY UNIVERSITY TAMPA LIBRARY	27.9551836	-82.482559
	BROWARD COUNTY PUBLIC LIBRARY	26.1126945	-80.3111728
	COLORADO CHRISTIAN UNIVERSITY	39.7125682	-105.0945084
	FAIRLEIGH DICKINSON UNIVERSITY METROPOLITAN CAMPUS	40.8975036	-74.029816
	FERGUSON LIBRARY	41.0556329	-73.5391668
	FLORIDA GULF COAST UNIVERSITY	26.4643209	-81.7733903
	NEW COLLEGE OF FLORIDA	27.384828	-82.558703
	FLORIDA INSTITUTE OF TECHNOLOGY	28.0632566	-80.6238884
	NOVA SOUTHEASTERN UNIVERSITY, LAW LIBRARY	26.079452	-80.2425234
	NOVA SOUTHEASTERN UNIV	26.0789364	-80.2462675
	UNIVERSITY OF NORTH FLORIDA, CARPENTER LIBRARY	30.2692476	-81.5083946
	PENSACOLA STATE COLLEGE	30.4809318	-87.2013052
	UNIVERSITY OF MIAMI	25.7191685	-80.2771253
	FITCHBURG STATE COLLEGE	42.5900165	-71.7889139
	UNIVERSITY OF FLORIDA	29.6436325	-82.3549302
	UNIVERSITY OF ST. FRANCIS	41.5333799	-88.0970978
	UNIVERSITY OF WEST FLORIDA	30.5474687	-87.216141
	PALM BEACH COUNTY LIBRARY SYSTEM	26.7807113	-80.2916087
	GETTYSBURG COLLEGE	39.8356944	-77.2356339
	DEKALB LIBRARY SYSTEM	33.9015004	-84.2783348
	GEORGE FOX UNIVERSITY	45.3033817	-122.9667381
	GOERGIA COLLEGE & STATE UNIVERSITY	33.0798884	-83.2318054
	GOLDEN GATE UNIVERSITY	37.789292	-122.398982
	INDIANHEAD FEDERATED LIBRARY SYSTEM	44.8365546	-91.5307337
	ALBERTUS MAGNUS COLLEGE	41.3316093	-72.9226957
	BARRINGTON PUBLIC LIBRARY DISTRICT	42.159425	-88.127628
	DES PLAINES PUBLIC LIBRARY	42.0404226	-87.8871992
	DARIEN LIBRARY	41.0687723	-73.4782658
	GREEN MOUNTAIN COLLEGE LIBRARY	43.5167448	-73.2442058
	MERCER UNIVERSITY	32.8288186	-83.6497769
	SCHAUMBURG TOWNSHIP DISTRICT LIBRARY	42.0255715	-88.0832931
	GREENWICH LIBRARY	41.028905	-73.629477
	GREAT RIVER REGIONAL LIBRARY	45.5568171	-94.1665905
	QUINNIPIAC COLLEGE LIBRARY	41.4188174	-72.8940583
	SOUTH WINDSOR PUBLIC LIBRARY	41.8287942	-72.5528995
	UNIVERSITY OF WISCONSIN/EAU CLAIRE	44.7967459	-91.5034191
	UNIVERSITY OF WISCONSIN, MADISON, GENERAL LIBRARY SYSTEM	43.075434	-89.397867
	UNIVERSITY OF WISCONSIN/OSHKOSH	44.0253186	-88.5510215
	UNIVERSITY OF WISCONSIN/PARKSIDE	42.6439962	-87.8522648
	WISCONSIN DEPT PUB INSTRUCTION REF & LOAN LIBRARY	42.838408	-88.7041011
	UNIVERSITY OF WISCONSIN/LA CROSS	43.8160517	-91.2311516
	UNIVERSITY OF WIS GREEN BAY LIBRARY	44.5314227	-87.9212664
	HOLY SPIRIT HOSPITAL MEDICAL LIBRARY	40.5012421	-74.4596152
	HAMPSHIRE COLLEGE	42.325559	-72.5322956
	HARRIS, BEACH & WILCOX, LLP	43.051352	-77.4647296
	HENNEPIN COUNTY LIBRARY	44.9802568	-93.2700336
	CLAREMONT COLLEGE, THE	34.094399	-117.708296
	RIVIER COLLEGE	42.7391326	-71.4542671
	HOLY FAMILY UNIVERSITY	40.0609234	-74.9873319
	CHATHAM COLLEGE	40.4482193	-79.9242625
	UNIVERSITY OF HAWAII AT HILO	19.701015	-155.0814688
	MERCY HOSPITAL MEDICAL CENTER	41.8461994	-87.6158113
	HORACE GREELEY HIGH SCHOOL	41.1752353	-73.7579745
	UNIVERSITY OF HARTFORD	41.7985989	-72.7140002
	HUDSON VALLEY COMMUNITY COLLEGE	42.6967457	-73.6854979
	VASSAR COLLEGE	41.6867992	-73.8957002
	LONG ISLAND UNIVERSITY/C.W. POST CAMPUS	40.8172349	-73.5900738
	DOWLING COLLEGE	40.7422255	-73.1481218
	MOLLOY COLLEGE	40.6859799	-73.6263933
	SUNY UPSTATE MEDICAL UNIVERSITY HEALTH SCIENCE LIBRARY	43.0399702	-76.1386995
	UNIVERSITY OF HAWAII AT MANOA LIBRARY	21.3007437	-157.8162349
	HUNTERDON COUNTY LIBRARY	40.5030023	-74.9012606
	HOUSATONIC COMMUNITY TECHNICAL COLLEGE	41.1753853	-73.1913907
	INDIANA UNIV PURDUE UNIVERSITY	40.4237054	-86.9211946
	INDIANA UNIV SOUTH BEND	41.6621383	-86.2197175
	DEPAUL UNIVERSITY	41.877512	-87.627227
	EASTERN ILLINOIS UNIVERSITY	39.4836717	-88.1751507
	ILLINOIS INSTITUTE OF TECHNOLOGY	41.8348731	-87.6270059
	LOYOLA UNIVERSITY OF CHICAGO	41.9989483	-87.6582592
	SOUTHERN IL UNIVERSITY AT EDWARDSVILLE	38.793103	-89.995654
	WESTERN ILLINOIS UNIVERSITY	40.4726649	-90.685397
	BRADLEY UNIVERSITY	40.6977743	-89.6153484
	COLLEGE OF DUPAGE	41.8412349	-88.0730209
	BALL STATE UNIVERSITY LIBRARY	40.2024197	-85.4072427
	EUREKA COLLEGE	40.71398	-89.267575
	UNIVERSITY OF SAINT FRANCIS	41.0865604	-85.1742097
	BENEDICTINE UNIVERSITY	41.7783779	-88.0967798
	ILLINOIS WESLEYAN UNIVERSITY	40.4908892	-88.9906541
	SAINT XAVIER UNIVERSITY LIBRARY	41.7071744	-87.7147553
	AUGUSTANA COLLEGE	41.5051053	-90.5507098
	NORTH PARK UNIVERSITY	41.9747121	-87.7106078
	PRAIRIE STATE COLLEGE	41.5255653	-87.6386099
	DEPAUW UNIVERSITY LIBRARY	39.6408554	-86.8637502
	INDIANA UNIVERSITY/EAST	39.86875	-84.8818165
	EVANSTON PUBLIC LIBRARY	42.0483943	-87.6800306
	SKOKIE PUBLIC LIBRARY	42.0257291	-87.7576986
	TRINITY INTERNATIONAL UNIVERSITY	42.1962259	-87.8809599
	UNIVERSITY OF INDIANAPOLIS	39.709739	-86.1351076
	TEXAS STATE LIBRARY	30.2739262	-97.7384342
	LAKE COUNTY PUBLIC LIBRARY	41.4699019	-87.3594365
	TEXAS TECH UNIVERSITY	33.5842591	-101.8782822
	INDIANA WESLEYAN UNIVERSITY	40.5187313	-85.6626617
	INFOTRIEVE INCORPORATED		
	UNIVERSITY OF NORTH TEXAS	33.207488	-97.1525862
	NORTHWESTERN UNIVERSITY LIBRARY	42.0530531	-87.6747985
	DRAKE UNIVERSITY	41.6029128	-93.6552984
	BUENA VISTA COLLEGE	42.6410826	-95.2098122
	SAINT AMBROSE UNIV, IOWA	41.5404254	-90.5807611
	NORTHWESTERN COLLEGE	42.9979484	-96.0582598
	PURDUE UNIVERSITY NORTHWEST-HAMMOND CAMPUS	41.5808528	-87.4735602
	PURDUE UNIVERSITY LIBRARY	40.424507	-86.912541
	EASTERN NEW MEXICO UNIVERSITY	34.1777872	-103.3484264
	UNIVERSITY OF NEW MEXICO	35.0843187	-106.6197812
	WESTERN NEW MEXICO UNIVERSITY	32.7754152	-108.282934
	NEW MEXICO STATE UNIVERSITY	32.2787745	-106.7479059
	UNIVERSITY OF SOUTHERN INDIANA	37.9582437	-87.6746938
	SAINT MARYS COLLEGE	37.8416252	-122.1098786
	SAINT JOSEPH COUNTY PUBLIC LIBRARY	41.607159	-86.233925
	INDIANA STATE UNIVERSITY	39.4711089	-87.4082349
	UNIVERSITY OF TEXAS AT DALLAS	32.9857619	-96.7500993
	INDIANA UNIVERSITY KOKOMO	40.4596897	-86.1314436
	UNIVERSITY OF TEXAS AT ARLINGTON	32.7298718	-97.1140116
	VALPARAISO UNIVERSITY	41.463273	-87.042381
	IOWA STATE UNIVERSITY	42.0266187	-93.6464654
	UNIVERSITY OF TEXAS AT AUSTIN	30.2849185	-97.7340567
	BAYLOR UNIVERSITY	31.5497007	-97.1143046
	ZION-BENTON PUBLIC LIBRARY DISTRICT	42.451058	-87.839255
	OLIVET NAZARENE UNIVERSITY	41.1549071	-87.8723694
	LINCOLN LAND COMMUNITY COLLEGE	39.7212664	-89.6117019
	ARLINGTON HEIGHTS MEMORIAL LIBRARY	42.087641	-87.9835203
	JOHN CARROLL UNIVERSITY	41.4905062	-81.5293126
	JOHNS HOPKINS UNIVERSITY	39.3299013	-76.6205177
	BLESSING-RIEMAN COLLEGE OF NURSING	39.9367117	-91.3981168
